"X1_graph","X8_frantfreqparm","Word","nl","oPE","Npix","OLD20","CN","Freq"
"vraie",58.1,"vraie",5,500.789165953717,712.972549019608,1.6,4,58.1
"vrais",21.87,"vrais",5,507.492833642857,708.541176470588,1.6,3,21.87
"vroom",0.19,"vroom",5,562.004831361419,789.658823529412,2.45,2,0.19
"vroum",0.9,"vroum",5,565.178372249928,782.490196078431,1.95,1,0.9
"vulve",0.77,"vulve",5,539.734469878763,708.325490196078,1.85,2,0.77
"vécue",7.61,"vécue",5,452.339888293024,770.239215686275,1.8,2,7.61
"vécus",2.52,"vécus",5,459.043555982164,765.807843137255,1.65,4,2.52
"vécut",2.97,"vécut",5,500.801729162753,751.725490196078,1.8,3,2.97
"vécés",0.58,"vécés",5,455.614965674101,797.435294117647,1.95,1,0.58
"vécût",0.35,"vécût",5,517.050416988362,778.172549019608,2.3,1,0.35
"védas",0.03,"védas",5,485.251923571839,837.298039215686,1.9,1,0.03
"vélin",0.48,"vélin",5,560.015800346388,737.980392156863,1.85,2,0.48
"vélos",2.39,"vélos",5,508.810589209077,762.933333333333,1.9,1,2.39
"vélum",0.13,"vélum",5,589.906860310636,808.380392156863,1.9,1,0.13
"vénal",0.48,"vénal",5,537.185846740256,774.058823529412,1.85,2,0.48
"vénus",14.39,"vénus",5,457.744071392301,785.619607843137,1.85,3,14.39
"vérif",0.13,"vérif",5,561.238197386083,733.403921568627,1.9,1,0.13
"vérin",0.06,"vérin",5,514.436628202184,736.549019607843,1.85,2,0.06
"vérot",0.03,"vérot",5,504.989590245462,747.419607843137,1.9,2,0.03
"vêler",0.29,"vêler",5,540.854111804352,746.239215686275,1.8,4,0.29
"vêpre",0.03,"vêpre",5,516.097983570866,825.862745098039,1.95,0,0.03
"vêtez",0.16,"vêtez",5,477.148411688193,763.901960784314,1.9,1,0.16
"vêtir",2.06,"vêtir",5,546.754460280032,719.741176470588,1.85,2,2.06
"vêtis",0.03,"vêtis",5,504.354549311742,743.690196078431,1.8,3,0.03
"vêtit",0.1,"vêtit",5,546.11272249233,729.607843137255,1.85,2,0.1
"vêtue",9.68,"vêtue",5,469.755767933281,773.243137254902,1.7,2,9.68
"vêtus",8.19,"vêtus",5,476.459435622421,768.811764705882,1.7,3,8.19
"vîmes",2.23,"vîmes",5,532.557242520987,792.772549019608,1.75,5,2.23
"vîtes",0.03,"vîtes",5,497.04907177486,726.074509803922,1.75,5,0.03
"vôtre",9.19,"vôtre",5,494.382853048988,752.047058823529,1.8,3,9.19
"wagon",11.55,"wagon",5,529.271966835686,879.988235294118,1.9,1,11.55
"water",0.68,"water",5,500.525920052305,779.172549019608,1.75,4,0.68
"watts",1.03,"watts",5,490.506722589709,784.607843137255,1.95,0,1.03
"weber",12.97,"weber",5,515.428783673809,833.980392156863,2,0,12.97
"wharf",0.74,"wharf",5,577.272624835673,826.443137254902,2.55,0,0.74
"whigs",0.52,"whigs",5,575.611536562123,868.211764705882,2.4,0,0.52
"whist",0.32,"whist",5,562.151444330835,796.039215686274,2.55,0,0.32
"wouah",0.03,"wouah",5,506.589101962174,842.607843137255,1.9,1,0.03
"xciii",0.03,"xciii",5,560.511331371852,672.596078431373,2.05,2,0.03
"xcvii",0.03,"xcvii",5,563.677324040647,677.474509803922,2,2,0.03
"xliii",0.03,"xliii",5,624.71831062329,662.552941176471,1.75,2,0.03
"xlvii",0.03,"xlvii",5,627.884303292085,667.43137254902,1.7,2,0.03
"xylol",0.06,"xylol",5,672.102386467179,755.796078431373,2.95,0,0.06
"xénon",0.06,"xénon",5,465.672947575623,819.286274509804,2,0,0.06
"xérès",0.32,"xérès",5,454.903534141572,805.086274509804,2.15,0,0.32
"yacht",3.13,"yacht",5,540.191498862758,817.952941176471,1.95,0,3.13
"yacks",0.16,"yacks",5,521.001684646898,828.690196078431,1.9,1,0.16
"yards",0.42,"yards",5,514.179501839756,835.192156862745,1.8,3,0.42
"yeuse",0.13,"yeuse",5,472.871446556628,808.988235294118,1.9,1,0.13
"yogis",0.03,"yogis",5,570.545724043429,834.882352941176,1.9,1,0.03
"yoles",0.03,"yoles",5,526.449447377389,789.207843137255,1.8,3,0.03
