"Word","FREQcount","CDcount","FREQlow","CDlow","FREQlemma","SUBTLEXWF","Lg10WF","SUBTLEXCD","Lg10CD","nl","oPE","Npix","OLD20","CN","Freq"
"chets",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,488.597827071073,794.341176470588,1.8,4,0.4771
"chers",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,487.548160377777,784.474509803922,1.7,5,0.4771
"charo",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,501.3643739071,787.407843137255,1.65,4,0.4771
"chads",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,501.226176337443,857.627450980392,1.95,0,0.4771
"chaci",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,513.836664625108,766.592156862745,1.75,3,0.4771
"cat's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,535.984146850229,630.078431372549,2,0,0.4771
"casol",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,513.371008086349,755.411764705882,1.95,0,0.4771
"calro",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,525.597001571113,731.462745098039,1.9,0,0.4771
"caino",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,483.322262757525,754.764705882353,1.9,1,0.4771
"c2-as",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,567.902390399346,686.847058823529,2.95,0,0.4771
"c.d.c",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,606.021509155948,558.023529411765,2.15,1,0.4771
"c.b.i",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,633.274440568441,533.807843137255,2.2,0,0.4771
"c.a.c",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,566.58811990165,515.541176470588,2.1,1,0.4771
"c._b.",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,721.644028439805,470.666666666667,2.1,2,0.4771
"c-sar",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,522.895740242679,650.254901960784,2.35,1,0.4771
"c-i-a",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,589.321440808102,541.764705882353,2.75,0,0.4771
"busch",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,496.55747521281,840.482352941176,1.95,0,0.4771
"burgh",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,564.322774034919,887.098039215686,1.9,1,0.4771
"bud's",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,581.350010207795,735.607843137255,1.95,0,0.4771
"bsl-3",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,645.357352719267,695.050980392157,2.85,0,0.4771
"bryon",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,573.392600679928,832.552941176471,1.8,1,0.4771
"broad",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,535.107794317365,856.38431372549,1.75,4,0.4771
"brlef",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,590.486917157085,787.066666666667,2,0,0.4771
"briss",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,515.927570811031,770.458823529412,1.8,3,0.4771
"briar",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,535.122671069333,752.086274509804,1.95,1,0.4771
"bread",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,526.317118028742,859.027450980392,1.8,3,0.4771
"boyer",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,555.111781570935,829.647058823529,1.7,5,0.4771
"bosun",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,477.966104794113,828.654901960784,2,0,0.4771
"boeks",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,498.943940564002,861.211764705882,1.8,4,0.4771
"boeie",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,491.787290851152,805.058823529412,1.75,4,0.4771
"bocco",2,2,0,0,2,0.0457,0.4771,0.0248,0.4771,5,481.445059870937,803.537254901961,1.9,2,0.4771
